timestamp,frame,label,cx,cy,x1,y1,x2,y2,source
11:26:45.302,1,litter_yolo,960,530,0,0,1920,1061,YOLO
11:26:48.527,23,litter_yolo,520,216,0,142,1041,291,YOLO
11:26:48.666,24,litter_yolo,521,376,0,297,1042,456,YOLO
11:26:48.793,25,litter_yolo,525,510,0,437,1051,584,YOLO
11:26:48.956,26,litter_yolo,523,558,0,495,1046,621,YOLO
11:26:49.620,31,litter_yolo,586,585,2,522,1171,648,YOLO
11:26:50.034,34,litter_yolo,296,592,2,487,591,698,YOLO
11:26:50.160,35,litter_yolo,286,600,0,497,572,704,YOLO
11:26:51.493,45,litter_yolo,960,524,2,53,1918,995,YOLO
11:26:56.424,81,litter_yolo,967,571,21,67,1914,1075,YOLO
11:26:56.559,82,litter_yolo,960,571,2,62,1918,1080,YOLO
11:26:56.693,83,litter_yolo,961,553,3,55,1920,1052,YOLO
11:26:56.826,84,litter_yolo,962,546,5,69,1920,1023,YOLO
11:26:56.991,85,litter_yolo,962,558,4,65,1920,1051,YOLO
11:26:57.126,86,litter_yolo,961,564,3,63,1920,1066,YOLO
11:26:57.262,87,litter_yolo,962,568,5,78,1920,1059,YOLO
11:26:57.394,88,litter_yolo,961,568,3,62,1920,1074,YOLO
11:26:57.565,89,litter_yolo,961,540,2,1,1920,1080,YOLO
11:26:57.993,92,litter_yolo,1408,711,1257,521,1559,901,YOLO
11:26:58.133,93,litter_yolo,1404,707,1259,519,1550,896,YOLO
11:26:58.965,99,litter_yolo,960,657,12,234,1909,1080,YOLO
11:26:59.096,100,litter_yolo,964,708,26,337,1903,1080,YOLO
11:26:59.230,101,litter_yolo,960,715,22,350,1899,1080,YOLO
11:26:59.363,102,litter_yolo,960,689,14,299,1907,1080,YOLO
11:26:59.499,103,litter_yolo,948,640,13,201,1883,1080,YOLO
11:26:59.764,105,litter_yolo,951,673,19,266,1883,1080,YOLO
11:27:00.692,112,litter_yolo,961,540,11,0,1912,1080,YOLO
11:27:00.827,113,litter_yolo,963,540,12,0,1914,1080,YOLO
11:27:00.960,114,litter_yolo,959,540,4,0,1914,1080,YOLO
11:27:01.096,115,litter_yolo,959,540,3,0,1915,1080,YOLO
11:27:01.894,121,litter_yolo,1192,619,935,389,1450,849,YOLO
11:27:02.025,122,litter_yolo,1298,738,1152,557,1445,919,YOLO
11:27:05.130,145,litter_yolo,1452,632,1303,453,1602,812,YOLO
11:27:09.832,164,litter_motion,521,446,467,418,575,475,COLOR_SEC
11:27:09.964,165,litter_motion,521,446,467,418,575,475,COLOR_SEC
11:27:10.096,166,litter_motion,521,446,467,418,575,475,COLOR_SEC
11:27:10.229,167,litter_motion,521,446,467,418,575,475,COLOR_SEC
11:27:10.365,168,litter_motion,521,446,467,418,575,475,COLOR_SEC
11:27:10.493,169,litter_motion,521,446,467,418,575,475,COLOR_SEC
11:27:10.627,170,litter_motion,521,446,467,418,575,475,COLOR_SEC
11:27:10.774,171,litter_motion,521,446,467,418,575,475,COLOR_SEC
11:27:10.890,172,litter_motion,521,446,467,418,575,475,COLOR_SEC
11:27:11.028,173,litter_motion,521,446,467,418,575,475,COLOR_SEC
11:27:11.165,174,litter_motion,521,446,467,418,575,475,COLOR_SEC
11:27:11.693,178,litter_motion,521,446,467,418,575,475,COLOR_SEC
11:27:11.838,179,litter_motion,521,446,467,418,575,475,COLOR_SEC
11:27:11.892,180,litter_yolo,960,540,0,0,1920,1080,YOLO
11:27:12.380,181,litter_yolo,960,530,0,0,1920,1060,YOLO
11:27:12.511,182,litter_yolo,960,535,0,0,1920,1070,YOLO
11:27:12.647,183,litter_yolo,960,537,0,0,1920,1075,YOLO
