epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.132,1.13765,1.33176,1.27529,0,0,0,0,0,0,0,0.000333066,0.000333066,0.0670264
2,600.495,1.07024,1.13023,1.25748,0,0,0,0,0,0,0,0.000633413,0.000633413,0.0339934
3,974.619,1.0222,1.05314,1.23276,0,0,0,0,0,0,0,0.00090076,0.00090076,0.000927448
4,1360.86,0.99695,1.01133,1.22146,0,0,0,0,0,0,0,0.0008515,0.0008515,0.0008515
5,1732.63,0.95987,0.94349,1.20325,0,0,0,0,0,0,0,0.000802,0.000802,0.000802
6,2159.27,0.94775,0.91704,1.20121,0,0,0,0,0,0,0,0.0007525,0.0007525,0.0007525
7,2551.08,0.91876,0.89064,1.18613,0,0,0,0,0,0,0,0.000703,0.000703,0.000703
8,2943.6,0.89351,0.87296,1.17186,0,0,0,0,0,0,0,0.0006535,0.0006535,0.0006535
9,3298.59,0.86698,0.82935,1.15395,0,0,0,0,0,0,0,0.000604,0.000604,0.000604
10,3631.13,0.86103,0.8252,1.15618,0,0,0,0,0,0,0,0.0005545,0.0005545,0.0005545
11,4031.65,0.65897,0.63023,1.01112,0,0,0,0,0,0,0,0.000505,0.000505,0.000505
12,4412.09,0.6397,0.60012,1.0029,0,0,0,0,0,0,0,0.0004555,0.0004555,0.0004555
13,4798.55,0.61848,0.56329,0.98424,0,0,0,0,0,0,0,0.000406,0.000406,0.000406
14,5159.9,0.60225,0.542,0.97853,0,0,0,0,0,0,0,0.0003565,0.0003565,0.0003565
15,5510.24,0.58732,0.51859,0.96574,0,0,0,0,0,0,0,0.000307,0.000307,0.000307
16,5851.48,0.5701,0.5039,0.96095,0,0,0,0,0,0,0,0.0002575,0.0002575,0.0002575
17,6207.46,0.55468,0.48445,0.95173,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
18,6567.79,0.53992,0.46255,0.94412,0,0,0,0,0,0,0,0.0001585,0.0001585,0.0001585
19,6885.25,0.52424,0.44954,0.93344,0,0,0,0,0,0,0,0.000109,0.000109,0.000109
